** CONVERTED FROM D:\elcl\DATA\S_114_s2.edf using edfapi 3.0 Win32 Dec 12 2008 on Tue Oct 21 11:25:46 2014
** DATE: Tue Oct 21 10:35:54 2014
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v4.40 Mar 24 2009
** CAMERA: EyeLink CL Version 1.4 Sensor=BKE
** SERIAL NUMBER: CL1-AAB31
** CAMERA_CONFIG: AAB31140.SCD
**

MSG	2458814 RECCFG CR 500 2 1 LR
MSG	2458814 ELCLCFG BTABLER
MSG	2458814 GAZE_COORDS 0.00 0.00 1151.00 863.00
MSG	2458814 THRESHOLDS L 108 236  R 73 230
MSG	2458814 ELCL_PROC ELLIPSE  (5)
MSG	2458814 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
START	2458815 	LEFT	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	DIAMETER
EVENTS	GAZE	LEFT	RIGHT	RATE	 500.00	TRACKING	CR	FILTER	2
SAMPLES	GAZE	LEFT	RIGHT	RATE	 500.00	TRACKING	CR	FILTER	2
MSG	2458815 !MODE RECORD CR 500 2 1 LR
2458919	  298.4	 1072.2	 4508.0	  297.1	 1142.1	 3670.0	.....
2458921	  298.2	 1072.2	 4510.0	  297.0	 1142.0	 3671.0	.....
2458923	  298.3	 1072.2	 4509.0	  297.0	 1142.0	 3672.0	.....
2458925	  298.4	 1072.3	 4507.0	  296.9	 1141.9	 3673.0	.....
2458927	  298.6	 1072.4	 4507.0	  296.5	 1141.8	 3674.0	.....
2458929	  299.0	 1072.5	 4508.0	  296.0	 1141.8	 3677.0	.....
2458931	  299.5	 1072.4	 4508.0	  295.7	 1142.1	 3679.0	.....
2458933	  300.0	 1072.4	 4508.0	  295.7	 1142.4	 3681.0	.....
2458935	  300.2	 1072.3	 4508.0	  295.8	 1142.8	 3681.0	.....
2458937	  300.2	 1072.0	 4511.0	  295.2	 1142.8	 3681.0	.....
2458939	  300.1	 1071.6	 4514.0	  294.5	 1142.9	 3684.0	.....
2458941	  300.1	 1071.5	 4515.0	  293.8	 1143.1	 3688.0	.....
2458943	  300.2	 1071.6	 4515.0	  293.8	 1143.3	 3690.0	.....
2458945	  300.3	 1071.8	 4514.0	  293.7	 1143.4	 3688.0	.....
2458947	  300.5	 1072.0	 4515.0	  293.7	 1143.4	 3688.0	.....
2458949	  300.5	 1072.1	 4516.0	  294.1	 1143.6	 3690.0	.....
2458951	  300.5	 1072.1	 4517.0	  294.6	 1143.9	 3692.0	.....
2458953	  300.4	 1072.1	 4517.0	  295.0	 1143.9	 3693.0	.....
2458955	  300.2	 1072.0	 4518.0	  294.8	 1143.7	 3693.0	.....
2458957	  300.1	 1072.1	 4519.0	  294.5	 1143.6	 3695.0	.....
2458959	  300.0	 1072.2	 4520.0	  294.1	 1143.7	 3697.0	.....
2458961	  300.2	 1072.3	 4521.0	  293.8	 1143.9	 3699.0	.....
2458963	  300.3	 1072.4	 4522.0	  293.3	 1143.8	 3698.0	.....
2458965	  300.2	 1072.5	 4522.0	  293.2	 1143.8	 3697.0	.....
2458967	  300.0	 1072.3	 4523.0	  293.2	 1143.5	 3698.0	.....
2458969	  299.9	 1072.1	 4523.0	  293.3	 1143.2	 3701.0	.....
2458971	  299.5	 1072.0	 4523.0	  293.5	 1142.9	 3703.0	.....
2458973	  299.4	 1072.1	 4523.0	  293.5	 1143.0	 3703.0	.....
2458975	  299.3	 1072.1	 4522.0	  293.3	 1143.1	 3703.0	.....
2458977	  299.5	 1072.1	 4523.0	  293.0	 1143.2	 3704.0	.....
2458979	  299.7	 1072.0	 4524.0	  293.1	 1143.1	 3706.0	.....
2458981	  299.7	 1071.9	 4524.0	  293.4	 1143.0	 3706.0	.....
2458983	  299.6	 1071.9	 4524.0	  293.6	 1142.8	 3706.0	.....
2458985	  299.3	 1071.9	 4525.0	  293.4	 1142.8	 3705.0	.....
2458987	  299.1	 1071.9	 4526.0	  293.4	 1142.8	 3705.0	.....
2458989	  299.0	 1071.9	 4528.0	  293.5	 1142.5	 3707.0	.....
2458991	  298.8	 1071.9	 4530.0	  293.6	 1142.3	 3709.0	.....
2458993	  298.7	 1071.8	 4530.0	  293.1	 1141.9	 3711.0	.....
2458995	  298.8	 1071.7	 4530.0	  292.8	 1141.6	 3711.0	.....
2458997	  299.2	 1071.5	 4530.0	  292.3	 1141.5	 3712.0	.....
2458999	  299.6	 1071.4	 4530.0	  292.1	 1141.5	 3713.0	.....
2459001	  299.7	 1071.4	 4531.0	  291.9	 1141.6	 3714.0	.....
2459003	  299.7	 1071.2	 4531.0	  291.7	 1141.5	 3715.0	.....
2459005	  299.6	 1071.1	 4533.0	  291.7	 1141.5	 3715.0	.....
2459007	  299.5	 1070.9	 4534.0	  291.6	 1141.5	 3716.0	.....
2459009	  299.5	 1070.8	 4535.0	  291.5	 1141.5	 3718.0	.....
2459011	  299.5	 1070.6	 4535.0	  291.3	 1141.5	 3720.0	.....
2459013	  299.5	 1070.5	 4535.0	  291.2	 1141.5	 3722.0	.....
2459015	  299.5	 1070.7	 4535.0	  291.0	 1141.5	 3724.0	.....
2459017	  299.5	 1070.9	 4535.0	  291.0	 1141.4	 3725.0	.....
2459019	  299.8	 1071.0	 4537.0	  290.9	 1141.4	 3725.0	.....
2459021	  300.4	 1070.9	 4537.0	  290.9	 1141.3	 3725.0	.....
