** CONVERTED FROM D:\data\some_file.edf using edfapi 3.1 Win32 Jan 19 2015 on Wed Jul 15 15:03:16 2015
** DATE: Wed Jul 15 01:41:59 2015
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v5.04 Sep 25 2014
** CAMERA: Eyelink GL Version 1.2 Sensor=AJ7
** SERIAL NUMBER: CLG-BBD46
** CAMERA_CONFIG: BBD46200.SCD
**

MSG	4489873 RECCFG CR 500 2 1 LR
MSG	4489873 ELCLCFG BTABLER
MSG	4489873 GAZE_COORDS 0.00 0.00 1279.00 1023.00
MSG	4489873 THRESHOLDS L 51 201  R 47 207
MSG	4489873 ELCL_WINDOW_SIZES 160 160 0 0
MSG	4489873 ELCL_PROC CENTROID (3)
MSG	4489873 ELCL_PCR_PARAM 5 3.0
START	4489874 	LEFT	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	DIAMETER
EVENTS	GAZE	LEFT	RIGHT	RATE	 500.00	TRACKING	CR	FILTER	2
SAMPLES	GAZE	LEFT	RIGHT	RATE	 500.00	TRACKING	CR	FILTER	2	INPUT
MSG	4489874 !MODE RECORD CR 500 2 1 LR
4489976	   .	   .	    0.0	  745.6	  490.4	 6118.0	32768.0	.C...
4489978	   .	   .	    0.0	  743.2	  491.1	 6113.0	32768.0	.C...
4489980	   .	   .	    0.0	  742.7	  492.0	 6108.0	32768.0	.C...
MSG 4489980 CS
4489982	   .	   .	    0.0	  743.2	  492.3	 6103.0	32768.0	.C...
4489984	   .	   .	    0.0	  743.3	  493.0	 6100.0	32768.0	.C...
4489986	   .	   .	    0.0	  743.3	  492.9	 6102.0	32768.0	.C...
4489988	   .	   .	    0.0	  744.2	  492.4	 6103.0	32768.0	.C...
4489990	   .	   .	    0.0	  744.5	  493.7	 6103.0	32768.0	.C...
SSACC R  4489992
4489992	   .	   .	    0.0	  743.5	  493.4	 6101.0	32768.0	.C...
4489994	   .	   .	    0.0	  741.9	  493.0	 6094.0	32768.0	.C...
4489996	   .	   .	    0.0	  739.2	  492.8	 6087.0	32768.0	.C...
4489998	   .	   .	    0.0	  733.8	  491.5	 6086.0	32768.0	.C...
4490000	   .	   .	    0.0	  726.3	  488.4	 6086.0	32768.0	.C...
4490002	   .	   .	    0.0	  718.1	  485.8	 6086.0	32768.0	.C...
4490004	   .	   .	    0.0	  713.9	  485.0	 6089.0	32768.0	.C...
4490006	   .	   .	    0.0	  710.1	  483.6	 6093.0	32768.0	.C...
4490008	   .	   .	    0.0	  710.7	  483.8	 6097.0	32768.0	.C...
4490010	   .	   .	    0.0	  714.3	  485.9	 6103.0	32768.0	.C...
